i_pd_na,v_out_inferred
0.00450930779631818,-0.4221104999999996
0.0031933700896363635,0.04020099999999971
0.0037361000354999992,0.2211054999999993
0.005984732006590908,0.80402
0.0077650680106363616,2.5326630000000003
0.008415414206181816,11.337749851238279
0.01076251304481818,20.000966944923668
0.0161075557755,32.225029924465545
0.02062239486395455,33.41514790133176
0.11433099164740912,255.21936442746457
0.22944800238340918,513.2355477130365
0.3476290035998182,839.7121121836049
0.3481041136363636,1146.1044992389495
0.3481041136363636,1373.8130552863618
0.3481041136363636,1728.136846292893
0.3481041136363636,1916.3241385420806
0.3481041136363636,2300.9229033925235
0.3481041136363636,2667.5030472911476
0.3481041136363636,2682.373923904708
