v_in,i_ma
2.2,0.0
2.3473684210526318,1.1627005658476177
2.4947368421052634,4.779991215151289
2.642105263157895,8.397281864454962
2.7894736842105265,12.014572513758631
2.936842105263158,15.631863163062306
3.0842105263157897,19.249153812365975
3.231578947368421,22.866444461669637
3.378947368421053,26.483735110973317
3.526315789473684,30.10102576027698
3.673684210526316,33.718316409580666
3.8210526315789473,37.33560705888432
3.968421052631579,40.952897708188
4.11578947368421,44.570188357491666
4.2631578947368425,48.18747900679535
4.410526315789474,51.80476965609901
4.557894736842105,55.422060305402674
4.705263157894737,59.03935095470635
4.852631578947369,62.656641604010034
5.0,66.2739322533137
