v_in,i_led_ma,i_pd_na
2.35,-0.005249615120274914,50.19094849999999
2.463157894736842,-0.00861903914089347,46.56481829999998
2.5763157894736843,-0.00637551941580756,50.854264999999984
2.6894736842105265,-0.011164115704467353,50.19094849999999
2.8026315789473686,-0.01063797006872852,51.16381269999998
2.9157894736842107,-0.012329293436426116,47.31657699999997
3.0289473684210524,-0.011442779484536082,50.76582279999999
3.1421052631578945,-0.012653151271477665,46.741702699999976
3.2552631578947366,-0.005956339621993126,48.77587329999998
3.3684210526315788,-0.011327327422680413,48.422104499999975
3.481578947368421,-0.006879758762886598,51.20854588545883
3.594736842105263,-0.01102912560137457,50.898486099999985
3.707894736842105,-0.013612291477663229,50.01406409999998
3.8210526315789473,-0.010912489415807561,50.72160169999999
3.9342105263157894,-0.009403915807560139,51.075370499999984
4.0473684210526315,-0.006672537113402061,49.74873749999998
4.160526315789474,-0.010708425429553267,50.190948499999976
4.273684210526316,-0.009965190446735396,46.60903939999997
4.386842105263158,-0.009449899278350516,48.59898889999998
4.5,-0.009705275292096218,49.88140079999998
