i_led_ma,i_pd_na
2.320694090909091,48.95275769999998
2.320694090909091,51.42913929999998
2.320694090909091,45.238185299999984
2.320694090909091,46.60903939999997
2.320694090909091,50.23516959999999
2.320694090909091,50.898486099999985
2.320694090909091,52.22564135641354
2.320694090909091,46.07838619999998
2.320694090909091,48.95275769999998
2.320694090909091,51.473360399999976
2.320694090909091,51.03114939999998
2.320694090909091,48.90853659999998
2.320694090909091,49.792958599999984
2.320694090909091,51.56180259999998
2.320694090909091,47.58190359999999
2.320694090909091,46.564818299999985
2.320694090909091,50.500496199999986
2.320694090909091,48.90853659999998
2.320694090909091,50.81055200552004
2.320694090909091,46.21104949999999
